Theme,Sub Theme,Feature Name,Co-ordinates
Mixed Use,Bar,"Tenancy 47, Ground, 727 Collins Street, Docklands, 3008","-37.82046725912159, 144.94982290293075"
Mixed Use,Bar,"Ground & Rooftop, 103 Lonsdale Street, Melbourne, 3000","-37.81038063462455, 144.9692357633733"
Mixed Use,Bar,"Podium, 1 Southgate Avenue, Southbank, 3006","-37.82047861515797, 144.96589092458512"
Mixed Use,Venue,"4-6 Goldie Place, Melbourne, 3000","-37.813558526665716, 144.96075407581748"
Mixed Use,Nightclub,"Level 1, 26 King Street, Melbourne, 3000","-37.81961099011078, 144.95739295718033"
Mixed Use,Bar,"Shop 46B, Ground, 8 Whiteman Street, Southbank, 3006","-37.82237743370056, 144.96013664101957"
Mixed Use,Bar,"Unit 1, Basement, 313-315 Flinders Lane, Melbourne, 3000","-37.817456737067324, 144.96378913395765"
Mixed Use,Bar,"278-300 Swanston Street, Melbourne, 3000","-37.81103540168751, 144.96467176356475"
Mixed Use,Venue,"Level 2-3, 2 Coverlid Place, Melbourne, 3000","-37.812290077617654, 144.96856088051632"
Mixed Use,Bar,"Shop 54A, Level 2, 8 Whiteman Street, Southbank, 3006","-37.82237605653925, 144.96005715393778"
Mixed Use,Bar,"Shop 303, Level 3, 300 Lonsdale Street, Melbourne, 3000","-37.81049466323917, 144.96260892303593"
Mixed Use,Bar,"Ground, 65 Peel Street, West Melbourne, 3003","-37.80669546524965, 144.95560816104967"
Mixed Use,Venue,"Pt Ground & Levels 1-5, 334-342 City Road, Southbank, 3006","-37.82795247595504, 144.95758234751773"
Mixed Use,Bar,"Level 1, 413-417 Elizabeth Street, Melbourne, 3000","-37.80915406493112, 144.9606400792035"
Mixed Use,,"298 Lygon Street, Carlton, 3053","-37.799970643253964, 144.96723895405708"
Mixed Use,Performance space,"90-130 Swanston Street, Melbourne, 3000","-37.814912543799636, 144.9664536170434"
Mixed Use,Casino,"8 Whiteman Street, Southbank, 3006","-37.822486643580916, 144.96013363399763"
Mixed Use,Venue,"150-162 Flinders Street, Melbourne, 3000","-37.81672152422505, 144.9694950938554"
Mixed Use,,"577-583 Little Collins Street, Melbourne, 3000","-37.81764606140045, 144.95554920127617"
Mixed Use,Bar,"Rear, 88 Flinders Street, Melbourne, 3000","-37.81602795476901, 144.97181318906033"
Mixed Use,Venue,"293-299 La Trobe Street, Melbourne, 3000","-37.81071423194513, 144.96049941842946"
Mixed Use,Bar,"Ground & Level 1, 267 Little Collins Street, Melbourne, 3000","-37.81471253447779, 144.96556243961416"
Mixed Use,Bar,"Basement, 125 Flinders Lane, Melbourne, 3000","-37.81553872471665, 144.97036036207516"
Mixed Use,Nightclub,"Level 2, 318-322 Little Collins Street, Melbourne, 3000","-37.81503810840179, 144.96410864029963"
,,,
,,,
Mixed Use,Bar,"Ground, 397 Little Lonsdale Street, Melbourne, 3000","-37.81181776178239, 144.96018541434393"
Mixed Use,Amusement/Theme Venue,"78-86 Dudley Street, West Melbourne, 3003","-37.80900975220489, 144.9526861520936"
Mixed Use,Nightclub,"Ground, 113 Queen Street, Melbourne, 3000","-37.815890178211724, 144.9609036675483"
Mixed Use,Nightclub,"229 Queensbury St, Carlton,","-37.80447486558001, 144.9611358873818"
Mixed Use,,"Unit 1, 377 Lonsdale Street, Melbourne, 3000","-37.81267565867737, 144.96140750009823"
Mixed Use,Bar,"Level 1, 246 Russell Street, Melbourne, 3000","-37.81048858505954, 144.96722384705905"
Mixed Use,Bar,"Level 2, 79 Bourke Street, Melbourne, 3000","-37.81207864874162, 144.97105279643523"
Mixed Use,Bar,"Level 1, 16-20 Corrs Lane, Melbourne, 3000","-37.811157037789194, 144.96837654729146"
Mixed Use,Performance space,"AAMI Park, Olympic Park, 60 Olympic Boulevard, Melbourne, 3004","-37.823968769882505, 144.98255462534763"
Mixed Use,Bar,"12 Bligh Place, Melbourne, 3000","-37.81710896940462, 144.9637044827892"
Mixed Use,Multi-use,"Tenancy 6, Alfred Deakin Building, Federation Square, 2 Swanston Street, Melbourne, 3000","-37.81834623092842, 144.96908666163947"
Mixed Use,,"Level 55S, 525 Collins Street, Melbourne, 3000","-37.818353178519466, 144.95714325498983"
Mixed Use,Bar,"5 Riverside Quay, Southbank, 3006","-37.82144024332026, 144.96446071868732"
Mixed Use,Bar,"Unit 1, Basement, 277 Flinders Lane, Melbourne, 3000","-37.81703740632109, 144.96524327382468"
Mixed Use,Bar,"71 Collins Street, Melbourne, 3000","-37.81424168617854, 144.97130100975428"
Mixed Use,Venue,"Gnd & Bmt, 125 Swanston Street, Melbourne, 3000","-37.81474151304183, 144.96600928994255"
Mixed Use,Performance space,"100 St Kilda Road, Southbank, 3006","-37.821552859925035, 144.96888500926758"
Mixed Use,Bar,"502-504 Flinders Street, Melbourne, 3000","-37.82013879156501, 144.95772242087293"
Mixed Use,,"87-91 Arden Street, North Melbourne, 3051","-37.80085694095499, 144.94761918548477"
Mixed Use,,"Level 1-3, 256 Collins Street, Melbourne, 3000","-37.81569096024321, 144.96536899928205"
Mixed Use,Gallery,"100-186 La Trobe Street, Melbourne, 3000","-37.809097098049996, 144.96503629766326"
Mixed Use,Venue,"11 Singers Lane, Melbourne, 3000","-37.8112098332617, 144.95679721844013"
Mixed Use,,"621-633 Bourke Street, Melbourne, 3000","-37.816698511726194, 144.95514280793918"
